"","Date","Entity","Code","Total.confirmed.deaths..deaths.","Total.confirmed.cases..cases.","PopTotal","PerCapita.Death","PerCapita.Infection","Death.Rate"
"112",2020-03-12,"Africa","",2,118,1340598113,1.49187141217466e-09,8.80204133183052e-08,0.0169491525423729
"113",2020-04-02,"Africa","",224,6248,1340598113,1.67089598163562e-07,4.66060629163365e-06,0.0358514724711908
"114",2020-02-26,"Africa","",NA,2,1340598113,NA,1.49187141217466e-09,NA
"115",2020-03-13,"Africa","",4,159,1340598113,2.98374282434933e-09,1.18603777267886e-07,0.0251572327044025
"116",2020-03-29,"Africa","",124,4124,1340598113,9.24960275548292e-08,3.07623885190416e-06,0.0300678952473327
"117",2020-04-14,"Africa","",835,15291,1340598113,6.22856314582922e-07,1.14061028817814e-05,0.0546072853312406
"118",2020-02-28,"Africa","",NA,3,1340598113,NA,2.237807118262e-09,NA
"119",2020-04-01,"Africa","",189,5626,1340598113,1.40981848450506e-07,4.19663428244733e-06,0.0335940277284038
"120",2020-03-11,"Africa","",1,105,1340598113,7.45935706087332e-10,7.83232491391699e-08,0.00952380952380952
"121",2020-04-27,"Africa","",1415,31748,1340598113,1.05549902411357e-06,2.36819667968606e-05,0.0445697366763261
"122",2020-05-07,"Africa","",2011,51677,1340598113,1.50007670494162e-06,3.85477194834751e-05,0.0389147976856242
"123",2020-03-10,"Africa","",1,95,1340598113,7.45935706087332e-10,7.08638920782965e-08,0.0105263157894737
"124",2020-03-31,"Africa","",166,5137,1340598113,1.23825327210497e-07,3.83187172217062e-06,0.032314580494452
"125",2020-03-22,"Africa","",35,1176,1340598113,2.61077497130566e-08,8.77220390358703e-07,0.0297619047619048
"126",2020-04-28,"Africa","",1470,33162,1340598113,1.09652548794838e-06,2.47367198852681e-05,0.044327845123937
"127",2020-04-26,"Africa","",1378,30316,1340598113,1.02789940298834e-06,2.26137868657436e-05,0.0454545454545455
"128",2020-03-21,"Africa","",24,975,1340598113,1.7902456946096e-08,7.27287313435149e-07,0.0246153846153846
"129",2020-05-05,"Africa","",1845,47122,1340598113,1.37625137773113e-06,3.51499823422473e-05,0.0391536861763083
"130",2020-03-28,"Africa","",103,3804,1340598113,7.68313777269952e-08,2.83753942595621e-06,0.0270767613038906
"131",2020-04-29,"Africa","",1524,34932,1340598113,1.13680601607709e-06,2.60570260850427e-05,0.0436276193747853
"132",2020-03-09,"Africa","",1,83,1340598113,7.45935706087332e-10,6.19126636052486e-08,0.0120481927710843
"133",2020-03-25,"Africa","",64,2203,1340598113,4.77398851895893e-08,1.64329636051039e-06,0.0290512936904222
"134",2020-03-19,"Africa","",16,633,1340598113,1.19349712973973e-08,4.72177301953281e-07,0.0252764612954186
"135",2020-05-06,"Africa","",1914,49208,1340598113,1.42772094145115e-06,3.67060042251454e-05,0.0388961144529345
